"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 20-Jan-2023","1W AGO 
 17-Jan-2023","1M AGO 
 23-Dec-2022","1Y AGO 
 21-Jan-2022","52W H 
","52W L 
","365 D % CHNG 
 21-Jan-2022","30 D % CHNG 
 23-Dec-2022"
"NIFTY INFRASTRUCTURE","5,205.20","-0.63","5,252.75","5,254.50","5,190.55","5,238.40","5,238.40","5,294.25","5,157.00","4,952.25","5,482.80","4,405.55","2.70","1.58"
"NIFTY100 LIQUID 15","4,568.05","-0.26","4,594.65","4,594.65","4,551.00","4,579.85","4,579.85","4,600.45","4,540.20","4,370.25","4,844.15","3,812.25","2.06","0.87"
"NIFTY MIDCAP LIQUID 15","7,503.15","-0.72","7,569.25","7,569.25","7,490.50","7,557.85","7,557.85","7,518.75","7,323.10","7,159.10","7,971.15","6,366.80","1.47","3.21"
"NIFTY MNC","19,732.40","0.20","19,731.90","19,772.05","19,671.90","19,692.55","19,692.55","19,969.25","19,503.80","18,480.70","20,626.45","16,805.30","3.54","0.97"
"NIFTY PSE","4,497.00","-0.73","4,536.85","4,539.25","4,491.35","4,530.10","4,530.10","4,465.45","4,205.15","3,988.20","4,539.25","3,602.20","11.51","7.73"
"NIFTY SERVICES SECTOR","25,006.95","0.10","25,085.90","25,134.85","24,944.00","24,982.65","24,982.65","24,872.25","24,311.35","24,092.50","25,939.50","20,292.75","1.17","2.76"
"NIFTY100 ESG SECTOR LEADERS","2,999.95","-0.19","3,018.55","3,018.70","2,994.30","3,005.80","3,005.80","3,022.40","2,947.10","2,893.00","-","-","0.76","1.99"
"NIFTY INDIA DIGITAL","5,282.55","0.83","5,252.95","5,291.80","5,243.00","5,239.30","5,239.30","5,207.70","5,100.35","6,437.35","7,365.45","4,755.25","-22.25","2.72"
"NIFTY100 ESG","3,449.30","0.12","3,457.25","3,457.25","3,443.35","3,445.20","3,445.20","3,459.15","3,380.80","3,469.85","-","-","-3.80","1.90"
"NIFTY INDIA MANUFACTURING","8,313.05","-0.25","8,353.65","8,361.15","8,303.45","8,333.95","8,333.95","8,394.05","8,029.90","7,747.90","-","-","3.94","3.79"
"NIFTY 8-13 YR G-SEC","2,342.81","0.05","2,341.91","2,343.70","2,341.10","2,341.46","2,341.56","2,342.59","2,331.21","2,278.40","-","-","2.74","0.44"
"NIFTY 10 YR BENCHMARK G-SEC","2,073.78","0.07","2,072.70","2,074.94","2,071.40","2,072.30","2,072.51","2,074.16","2,064.72","2,037.60","-","-","1.53","0.38"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","863.52","0.05","863.06","864.02","862.50","863.06","863.16","864.74","865.07","909.66","-","-","-5.33","-0.22"
"NIFTY 4-8 YR G-SEC INDEX","2,563.82","0.03","2,563.33","2,564.31","2,562.28","2,562.82","2,562.84","2,560.46","2,541.57","2,485.52","-","-","3.15","0.84"
"NIFTY 11-15 YR G-SEC INDEX","2,560.24","0.02","2,560.12","2,560.31","2,559.43","2,559.61","2,560.34","2,561.18","2,540.34","2,432.88","-","-","5.03","0.79"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","2,803.80","0.01","2,803.82","2,803.82","2,802.89","2,803.25","2,808.14","2,808.18","2,783.01","2,640.04","-","-","6.25","0.90"
"NIFTY COMPOSITE G-SEC INDEX","2,424.66","0.03","2,424.22","2,425.26","2,423.54","2,423.75","2,424.85","2,424.59","2,409.73","2,342.95","-","-","3.39","0.63"
